UID,iso2,iso3,code3,Province_State,Country_Region,Lat,Long,Combined_Key,Population
5601,BE,BEL,56,Antwerp,Belgium,51.2195,4.4024,"Antwerp, Belgium",1869730
5602,BE,BEL,56,Brussels,Belgium,50.8503,4.3517,"Brussels, Belgium",1218255
5603,BE,BEL,56,East Flanders,Belgium,51.0362,3.7373,"East Flanders, Belgium",1525255
5604,BE,BEL,56,Flemish Brabant,Belgium,50.9167,4.5833,"Flemish Brabant, Belgium",1155843
5605,BE,BEL,56,Hainaut,Belgium,50.5257,4.0621,"Hainaut, Belgium",1346840
5606,BE,BEL,56,Liege,Belgium,50.4496,5.8492,"Liege, Belgium",1109800
5607,BE,BEL,56,Limburg,Belgium,50.9739,5.342,"Limburg, Belgium",877370
5608,BE,BEL,56,Luxembourg,Belgium,50.0547,5.4677,"Luxembourg, Belgium",286752
5609,BE,BEL,56,Namur,Belgium,50.331,4.8221,"Namur, Belgium",495832
5611,BE,BEL,56,Walloon Brabant,Belgium,50.4,4.35,"Walloon Brabant, Belgium",406019
5612,BE,BEL,56,West Flanders,Belgium,51.0536,3.1458,"West Flanders, Belgium",1200945
7601,BR,BRA,76,Acre,Brazil,-9.0238,-70.812,"Acre, Brazil",881935
7602,BR,BRA,76,Alagoas,Brazil,-9.5713,-36.782,"Alagoas, Brazil",3337357
7603,BR,BRA,76,Amapa,Brazil,0.902,-52.003,"Amapa, Brazil",845731
7604,BR,BRA,76,Amazonas,Brazil,-3.4168,-65.8561,"Amazonas, Brazil",4144597
7605,BR,BRA,76,Bahia,Brazil,-12.5797,-41.7007,"Bahia, Brazil",14873064
7606,BR,BRA,76,Ceara,Brazil,-5.4984,-39.3206,"Ceara, Brazil",9132078
7607,BR,BRA,76,Distrito Federal,Brazil,-15.7998,-47.8645,"Distrito Federal, Brazil",3015268
7608,BR,BRA,76,Espirito Santo,Brazil,-19.1834,-40.3089,"Espirito Santo, Brazil",4018650
7609,BR,BRA,76,Goias,Brazil,-15.827,-49.8362,"Goias, Brazil",7018354
7610,BR,BRA,76,Maranhao,Brazil,-4.9609,-45.2744,"Maranhao, Brazil",7075181
7611,BR,BRA,76,Mato Grosso,Brazil,-12.6819,-56.9211,"Mato Grosso, Brazil",3484466
7612,BR,BRA,76,Mato Grosso do Sul,Brazil,-20.7722,-54.7852,"Mato Grosso do Sul, Brazil",2778986
7613,BR,BRA,76,Minas Gerais,Brazil,-18.5122,-44.555,"Minas Gerais, Brazil",21168791
7614,BR,BRA,76,Para,Brazil,-1.9981,-54.9306,"Para, Brazil",8602865
7615,BR,BRA,76,Paraiba,Brazil,-7.24,-36.782,"Paraiba, Brazil",4018127
7616,BR,BRA,76,Parana,Brazil,-25.2521,-52.0215,"Parana, Brazil",11433957
7617,BR,BRA,76,Pernambuco,Brazil,-8.8137,-36.9541,"Pernambuco, Brazil",9557071
7618,BR,BRA,76,Piaui,Brazil,-7.7183,-42.7289,"Piaui, Brazil",3273227
7619,BR,BRA,76,Rio de Janeiro,Brazil,-22.9068,-43.1729,"Rio de Janeiro, Brazil",17264943
7620,BR,BRA,76,Rio Grande do Norte,Brazil,-5.4026,-36.9541,"Rio Grande do Norte, Brazil",3506853
7621,BR,BRA,76,Rio Grande do Sul,Brazil,-30.0346,-51.2177,"Rio Grande do Sul, Brazil",11377239
7622,BR,BRA,76,Rondonia,Brazil,-11.5057,-63.5806,"Rondonia, Brazil",1777225
7623,BR,BRA,76,Roraima,Brazil,-2.7376,-62.0751,"Roraima, Brazil",605761
7624,BR,BRA,76,Santa Catarina,Brazil,-27.2423,-50.2189,"Santa Catarina, Brazil",7164788
7625,BR,BRA,76,Sao Paulo,Brazil,-23.5505,-46.6333,"Sao Paulo, Brazil",45919049
7626,BR,BRA,76,Sergipe,Brazil,-10.5741,-37.3857,"Sergipe, Brazil",2298696
7627,BR,BRA,76,Tocantins,Brazil,-10.1753,-48.2982,"Tocantins, Brazil",1572866
15201,CL,CHL,152,Antofagasta,Chile,-23.6509,-70.3975,"Antofagasta, Chile",607534
15202,CL,CHL,152,Araucania,Chile,-38.9489,-72.3311,"Araucania, Chile",957224
15203,CL,CHL,152,Arica y Parinacota,Chile,-18.594,-69.4785,"Arica y Parinacota, Chile",226068
15204,CL,CHL,152,Atacama,Chile,-27.5661,-70.0503,"Atacama, Chile",288944
15205,CL,CHL,152,Aysen,Chile,-45.9864,-73.7669,"Aysen, Chile",103158
15206,CL,CHL,152,Biobio,Chile,-37.4464,-72.1416,"Biobio, Chile",1556805
15207,CL,CHL,152,Coquimbo,Chile,-29.959,-71.3389,"Coquimbo, Chile",757586
15208,CL,CHL,152,Los Lagos,Chile,-41.9198,-72.1416,"Los Lagos, Chile",828708
15209,CL,CHL,152,Los Rios,Chile,-40.231,-72.3311,"Los Rios, Chile",384837
15210,CL,CHL,152,Magallanes,Chile,-52.368,-70.9863,"Magallanes, Chile",166533
15211,CL,CHL,152,Maule,Chile,-35.5183,-71.6885,"Maule, Chile",1044950
15212,CL,CHL,152,Metropolitana,Chile,-33.4376,-70.6505,"Metropolitana, Chile",7112808
15213,CL,CHL,152,Nuble,Chile,-36.7226,-71.7622,"Nuble, Chile",480609
15214,CL,CHL,152,OHiggins,Chile,-34.5755,-71.0022,"OHiggins, Chile",914555
15215,CL,CHL,152,Tarapaca,Chile,-19.9232,-69.5132,"Tarapaca, Chile",330558
15216,CL,CHL,152,Valparaiso,Chile,-33.0472,-71.6127,"Valparaiso, Chile",1815902
17001,CO,COL,170,Amazonas,Colombia,-1.4429,-71.5724,"Amazonas, Colombia",76589
17002,CO,COL,170,Antioquia,Colombia,7.1986,-75.3412,"Antioquia, Colombia",6407102
17003,CO,COL,170,Arauca,Colombia,7.0762,-70.7105,"Arauca, Colombia",262174
17004,CO,COL,170,Atlantico,Colombia,10.6966,-74.8741,"Atlantico, Colombia",2535517
17005,CO,COL,170,Bolivar,Colombia,8.6704,-74.03,"Bolivar, Colombia",2070110
17006,CO,COL,170,Boyaca,Colombia,5.4545,-73.362,"Boyaca, Colombia",1217376
17007,CO,COL,170,Caldas,Colombia,5.2983,-75.2479,"Caldas, Colombia",998255
17008,CO,COL,170,Capital District,Colombia,4.711,-74.0721,"Capital District, Colombia",7412566
17009,CO,COL,170,Caqueta,Colombia,0.8699,-73.8419,"Caqueta, Colombia",401489
17010,CO,COL,170,Casanare,Colombia,5.7589,-71.5724,"Casanare, Colombia",420504
17011,CO,COL,170,Cauca,Colombia,2.705,-76.826,"Cauca, Colombia",1464488
17012,CO,COL,170,Cesar,Colombia,9.3373,-73.6536,"Cesar, Colombia",1200574
17013,CO,COL,170,Choco,Colombia,5.2528,-76.826,"Choco, Colombia",534826
17014,CO,COL,170,Cordoba,Colombia,8.0493,-75.574,"Cordoba, Colombia",1784783
17015,CO,COL,170,Cundinamarca,Colombia,5.026,-74.03,"Cundinamarca, Colombia",2919060
17016,CO,COL,170,Guainia,Colombia,2.5854,-68.5247,"Guainia, Colombia",48114
17017,CO,COL,170,Guaviare,Colombia,1.0654,-73.2603,"Guaviare, Colombia",82767
17018,CO,COL,170,Huila,Colombia,2.5359,-75.5277,"Huila, Colombia",1100386
17019,CO,COL,170,La Guajira,Colombia,11.3548,-72.5205,"La Guajira, Colombia",880560
17020,CO,COL,170,Magdalena,Colombia,10.4113,-74.4057,"Magdalena, Colombia",1341746
17021,CO,COL,170,Meta,Colombia,3.272,-73.0877,"Meta, Colombia",1039722
17022,CO,COL,170,Narino,Colombia,1.2892,-77.3579,"Narino, Colombia",1630592
17023,CO,COL,170,Norte de Santander,Colombia,7.9463,-72.8988,"Norte de Santander, Colombia",1491689
17024,CO,COL,170,Putumayo,Colombia,0.436,-75.5277,"Putumayo, Colombia",348182
17025,CO,COL,170,Quindio,Colombia,4.461,-75.6674,"Quindio, Colombia",539904
17026,CO,COL,170,Risaralda,Colombia,5.3158,-75.9928,"Risaralda, Colombia",943401
17027,CO,COL,170,San Andres y Providencia,Colombia,12.5567,-81.7185,"San Andres y Providencia, Colombia",61280
17028,CO,COL,170,Santander,Colombia,6.6437,-73.6536,"Santander, Colombia",2184837
17029,CO,COL,170,Sucre,Colombia,8.814,-74.7233,"Sucre, Colombia",904863
17030,CO,COL,170,Tolima,Colombia,4.0925,-75.1545,"Tolima, Colombia",1330187
17031,CO,COL,170,Valle del Cauca,Colombia,3.8009,-76.6413,"Valle del Cauca, Colombia",4475886
17032,CO,COL,170,Vaupes,Colombia,0.8554,-70.812,"Vaupes, Colombia",40797
17033,CO,COL,170,Vichada,Colombia,4.4234,-69.2878,"Vichada, Colombia",107808
234,FO,FRO,234,Faroe Islands,Denmark,61.8926,-6.9118,"Faroe Islands, Denmark",48865
304,GL,GRL,304,Greenland,Denmark,71.7069,-42.6043,"Greenland, Denmark",56772
254,GF,GUF,254,French Guiana,France,4,-53,"French Guiana, France",298682
258,PF,PYF,258,French Polynesia,France,-17.6797,-149.4068,"French Polynesia, France",280904
312,GP,GLP,312,Guadeloupe,France,16.265,-61.551,"Guadeloupe, France",400127
474,MQ,MTQ,474,Martinique,France,14.6415,-61.0242,"Martinique, France",375265
175,YT,MYT,175,Mayotte,France,-12.8275,45.166244,"Mayotte, France",272813
540,NC,NCL,540,New Caledonia,France,-20.904305,165.618042,"New Caledonia, France",285491
638,RE,REU,638,Reunion,France,-21.1151,55.5364,"Reunion, France",895308
652,BL,BLM,652,Saint Barthelemy,France,17.9,-62.8333,"Saint Barthelemy, France",9885
666,PM,SPM,666,Saint Pierre and Miquelon,France,46.8852,-56.3159,"Saint Pierre and Miquelon, France",5795
663,MF,MAF,663,St Martin,France,18.0708,-63.0501,"St Martin, France",38659
876,WF,WLF,876,Wallis and Futuna,France,-14.2938,-178.1165,"Wallis and Futuna, France",15289
27601,DE,DEU,276,Baden-Wurttemberg,Germany,48.6616,9.3501,"Baden-Wurttemberg, Germany",11103043
27602,DE,DEU,276,Bayern,Germany,48.7904,11.4979,"Bayern, Germany",13140183
27603,DE,DEU,276,Berlin,Germany,52.52,13.405,"Berlin, Germany",3664088
27604,DE,DEU,276,Brandenburg,Germany,52.4125,12.5316,"Brandenburg, Germany",2531071
27605,DE,DEU,276,Bremen,Germany,53.0793,8.8017,"Bremen, Germany",680130
27606,DE,DEU,276,Hamburg,Germany,53.5511,9.9937,"Hamburg, Germany",1852478
27607,DE,DEU,276,Hessen,Germany,50.6521,9.1624,"Hessen, Germany",6293154
27608,DE,DEU,276,Mecklenburg-Vorpommern,Germany,53.6127,12.4296,"Mecklenburg-Vorpommern, Germany",1610774
27609,DE,DEU,276,Niedersachsen,Germany,52.6367,9.8451,"Niedersachsen, Germany",8003421
27610,DE,DEU,276,Nordrhein-Westfalen,Germany,51.4332,7.6616,"Nordrhein-Westfalen, Germany",17925570
27611,DE,DEU,276,Rheinland-Pfalz,Germany,50.1183,7.309,"Rheinland-Pfalz, Germany",4098391
27612,DE,DEU,276,Saarland,Germany,49.3964,7.023,"Saarland, Germany",983991
27613,DE,DEU,276,Sachsen,Germany,51.1045,13.2017,"Sachsen, Germany",4056941
27614,DE,DEU,276,Sachsen-Anhalt,Germany,51.9503,11.6923,"Sachsen-Anhalt, Germany",2180684
27615,DE,DEU,276,Schleswig-Holstein,Germany,54.2194,9.6961,"Schleswig-Holstein, Germany",2910875
27616,DE,DEU,276,Thuringen,Germany,51.011,10.8453,"Thuringen, Germany",2120237
35601,IN,IND,356,Andaman and Nicobar Islands,India,11.225999,92.968178,"Andaman and Nicobar Islands, India",417036
35602,IN,IND,356,Andhra Pradesh,India,15.9129,79.74,"Andhra Pradesh, India",53903393
35603,IN,IND,356,Arunachal Pradesh,India,27.768456,96.384277,"Arunachal Pradesh, India",1570458
35604,IN,IND,356,Assam,India,26.357149,92.830441,"Assam, India",35607039
35605,IN,IND,356,Bihar,India,25.679658,85.60484,"Bihar, India",124799926
35606,IN,IND,356,Chandigarh,India,30.733839,76.768278,"Chandigarh, India",1158473
35607,IN,IND,356,Chhattisgarh,India,21.264705,82.035366,"Chhattisgarh, India",29436231
35608,IN,IND,356,Dadra and Nagar Haveli and Daman and Diu,India,20.194742,73.080901,"Dadra and Nagar Haveli and Daman and Diu, India",615724
35609,IN,IND,356,Delhi,India,28.646519,77.10898,"Delhi, India",18710922
35610,IN,IND,356,Goa,India,15.359682,74.057396,"Goa, India",1586250
35611,IN,IND,356,Gujarat,India,22.694884,71.590923,"Gujarat, India",63872399
35612,IN,IND,356,Haryana,India,29.20004,76.332824,"Haryana, India",28204692
35613,IN,IND,356,Himachal Pradesh,India,31.927213,77.233081,"Himachal Pradesh, India",7451955
35614,IN,IND,356,Jammu and Kashmir,India,33.75943,76.612638,"Jammu and Kashmir, India",13606320
35615,IN,IND,356,Jharkhand,India,23.654536,85.557631,"Jharkhand, India",38593948
35616,IN,IND,356,Karnataka,India,14.70518,76.166436,"Karnataka, India",67562686
35617,IN,IND,356,Kerala,India,10.450898,76.405749,"Kerala, India",35699443
35618,IN,IND,356,Ladakh,India,34.1526,77.5771,"Ladakh, India",274289
35619,IN,IND,356,Madhya Pradesh,India,23.541513,78.289633,"Madhya Pradesh, India",85358965
35620,IN,IND,356,Maharashtra,India,19.449759,76.108221,"Maharashtra, India",123144223
35621,IN,IND,356,Manipur,India,24.738975,93.882541,"Manipur, India",3091545
35622,IN,IND,356,Meghalaya,India,25.536934,91.278882,"Meghalaya, India",3366710
35623,IN,IND,356,Mizoram,India,23.309381,92.83822,"Mizoram, India",1239244
35624,IN,IND,356,Nagaland,India,26.06702,94.470302,"Nagaland, India",2249695
35625,IN,IND,356,Odisha,India,20.505428,84.418059,"Odisha, India",46356334
35626,IN,IND,356,Puducherry,India,11.882658,78.86498,"Puducherry, India",1413542
35627,IN,IND,356,Punjab,India,30.841465,75.40879,"Punjab, India",30141373
35628,IN,IND,356,Rajasthan,India,26.583423,73.847973,"Rajasthan, India",81032689
35629,IN,IND,356,Sikkim,India,27.571671,88.472712,"Sikkim, India",690251
35630,IN,IND,356,Tamil Nadu,India,11.006091,78.400624,"Tamil Nadu, India",77841267
35631,IN,IND,356,Telangana,India,18.1124,79.0193,"Telangana, India",39362732
35632,IN,IND,356,Tripura,India,23.746783,91.743565,"Tripura, India",4169794
35633,IN,IND,356,Uttar Pradesh,India,26.925425,80.560982,"Uttar Pradesh, India",237882725
35634,IN,IND,356,Uttarakhand,India,30.156447,79.197608,"Uttarakhand, India",11250858
35635,IN,IND,356,West Bengal,India,23.814082,87.979803,"West Bengal, India",99609303
35637,IN,IND,356,Lakshadweep,India,13.6999972,72.1833326,"Lakshadweep, India",64429
38013,IT,ITA,380,Abruzzo,Italy,42.35122196,13.39843823,"Abruzzo, Italy",1311580
38017,IT,ITA,380,Basilicata,Italy,40.63947052,15.80514834,"Basilicata, Italy",562869
38018,IT,ITA,380,Calabria,Italy,38.90597598,16.59440194,"Calabria, Italy",1947131
38015,IT,ITA,380,Campania,Italy,40.83956555,14.25084984,"Campania, Italy",5801692
38008,IT,ITA,380,Emilia-Romagna,Italy,44.49436681,11.3417208,"Emilia-Romagna, Italy",4459477
38006,IT,ITA,380,Friuli Venezia Giulia,Italy,45.6494354,13.76813649,"Friuli Venezia Giulia, Italy",1215220
38012,IT,ITA,380,Lazio,Italy,41.89277044,12.48366722,"Lazio, Italy",5879082
38007,IT,ITA,380,Liguria,Italy,44.41149315,8.9326992,"Liguria, Italy",1550640
38003,IT,ITA,380,Lombardia,Italy,45.46679409,9.190347404,"Lombardia, Italy",10060574
38011,IT,ITA,380,Marche,Italy,43.61675973,13.5188753,"Marche, Italy",1525271
38014,IT,ITA,380,Molise,Italy,41.55774754,14.65916051,"Molise, Italy",305617
38041,IT,ITA,380,P.A. Bolzano,Italy,46.49933453,11.35662422,"P.A. Bolzano, Italy",532318
38042,IT,ITA,380,P.A. Trento,Italy,46.06893511,11.12123097,"P.A. Trento, Italy",541418
38001,IT,ITA,380,Piemonte,Italy,45.0732745,7.680687483,"Piemonte, Italy",4356406
38016,IT,ITA,380,Puglia,Italy,41.12559576,16.86736689,"Puglia, Italy",4029053
38020,IT,ITA,380,Sardegna,Italy,39.21531192,9.110616306,"Sardegna, Italy",1639591
38019,IT,ITA,380,Sicilia,Italy,38.11569725,13.3623567,"Sicilia, Italy",4999891
38009,IT,ITA,380,Toscana,Italy,43.76923077,11.25588885,"Toscana, Italy",3729641
38010,IT,ITA,380,Umbria,Italy,43.10675841,12.38824698,"Umbria, Italy",882015
38002,IT,ITA,380,Valle d'Aosta,Italy,45.73750286,7.320149366,"Valle d'Aosta, Italy",125666
38005,IT,ITA,380,Veneto,Italy,45.43490485,12.33845213,"Veneto, Italy",4905854
39201,JP,JPN,392,Aichi,Japan,35.035551,137.211621,"Aichi, Japan",7552239
39202,JP,JPN,392,Akita,Japan,39.748679,140.408228,"Akita, Japan",966490
39203,JP,JPN,392,Aomori,Japan,40.781541,140.828896,"Aomori, Japan",1246371
39204,JP,JPN,392,Chiba,Japan,35.510141,140.198917,"Chiba, Japan",6259382
39205,JP,JPN,392,Ehime,Japan,33.624835,132.856842,"Ehime, Japan",1339215
39206,JP,JPN,392,Fukui,Japan,35.846614,136.224654,"Fukui, Japan",767937
39207,JP,JPN,392,Fukuoka,Japan,33.526032,130.666949,"Fukuoka, Japan",5103679
39208,JP,JPN,392,Fukushima,Japan,37.378867,140.223295,"Fukushima, Japan",1845519
39209,JP,JPN,392,Gifu,Japan,35.778671,137.055925,"Gifu, Japan",1986587
39210,JP,JPN,392,Gunma,Japan,36.504479,138.985605,"Gunma, Japan",1942456
39211,JP,JPN,392,Hiroshima,Japan,34.605309,132.788719,"Hiroshima, Japan",2804177
39212,JP,JPN,392,Hokkaido,Japan,43.385711,142.552318,"Hokkaido, Japan",5250049
39213,JP,JPN,392,Hyogo,Japan,35.039913,134.828057,"Hyogo, Japan",5466190
39214,JP,JPN,392,Ibaraki,Japan,36.303588,140.319591,"Ibaraki, Japan",2860307
39215,JP,JPN,392,Ishikawa,Japan,36.769464,136.771027,"Ishikawa, Japan",1137649
39216,JP,JPN,392,Iwate,Japan,39.593287,141.361777,"Iwate, Japan",1226816
39217,JP,JPN,392,Kagawa,Japan,34.217292,133.969047,"Kagawa, Japan",956347
39218,JP,JPN,392,Kagoshima,Japan,31.009484,130.430665,"Kagoshima, Japan",1602273
39219,JP,JPN,392,Kanagawa,Japan,35.415312,139.338983,"Kanagawa, Japan",9198268
39220,JP,JPN,392,Kochi,Japan,33.422519,133.367307,"Kochi, Japan",698029
39221,JP,JPN,392,Kumamoto,Japan,32.608154,130.745231,"Kumamoto, Japan",1747567
39222,JP,JPN,392,Kyoto,Japan,35.253815,135.443341,"Kyoto, Japan",2582957
39223,JP,JPN,392,Mie,Japan,34.508018,136.376013,"Mie, Japan",1780882
39224,JP,JPN,392,Miyagi,Japan,38.446859,140.927086,"Miyagi, Japan",2306365
39225,JP,JPN,392,Miyazaki,Japan,32.193204,131.299374,"Miyazaki, Japan",1073301
39226,JP,JPN,392,Nagano,Japan,36.132134,138.045528,"Nagano, Japan",2048790
39227,JP,JPN,392,Nagasaki,Japan,33.235712,129.608033,"Nagasaki, Japan",1326524
39228,JP,JPN,392,Nara,Japan,34.317451,135.871644,"Nara, Japan",1330123
39229,JP,JPN,392,Niigata,Japan,37.521819,138.918647,"Niigata, Japan",2223106
39230,JP,JPN,392,Oita,Japan,33.200697,131.43324,"Oita, Japan",1135434
39231,JP,JPN,392,Okayama,Japan,34.89246,133.826252,"Okayama, Japan",1889586
39232,JP,JPN,392,Okinawa,Japan,25.768923,126.668016,"Okinawa, Japan",1453168
39233,JP,JPN,392,Osaka,Japan,34.620965,135.507481,"Osaka, Japan",8809363
39234,JP,JPN,392,Saga,Japan,33.286977,130.115738,"Saga, Japan",814711
39235,JP,JPN,392,Saitama,Japan,35.997101,139.347635,"Saitama, Japan",7349693
39236,JP,JPN,392,Shiga,Japan,35.215827,136.138064,"Shiga, Japan",1413943
39237,JP,JPN,392,Shimane,Japan,35.07076,132.554064,"Shimane, Japan",674346
39238,JP,JPN,392,Shizuoka,Japan,34.916975,138.407784,"Shizuoka, Japan",3643528
39239,JP,JPN,392,Tochigi,Japan,36.689912,139.819213,"Tochigi, Japan",1933990
39240,JP,JPN,392,Tokushima,Japan,33.919178,134.242091,"Tokushima, Japan",727977
39241,JP,JPN,392,Tokyo,Japan,35.711343,139.446921,"Tokyo, Japan",13920663
39242,JP,JPN,392,Tottori,Japan,35.359069,133.863619,"Tottori, Japan",555558
39243,JP,JPN,392,Toyama,Japan,36.637464,137.269346,"Toyama, Japan",1043502
39244,JP,JPN,392,Wakayama,Japan,33.911879,135.505446,"Wakayama, Japan",924933
39245,JP,JPN,392,Yamagata,Japan,38.448396,140.102154,"Yamagata, Japan",1077666
39246,JP,JPN,392,Yamaguchi,Japan,34.20119,131.573293,"Yamaguchi, Japan",1358336
39247,JP,JPN,392,Yamanashi,Japan,35.612364,138.611489,"Yamanashi, Japan",810956
45801,MY,MYS,458,Johor,Malaysia,1.4854,103.7618,"Johor, Malaysia",3768200
45802,MY,MYS,458,Kedah,Malaysia,6.1184,100.3685,"Kedah, Malaysia",2185900
45803,MY,MYS,458,Kelantan,Malaysia,6.1254,102.2381,"Kelantan, Malaysia",1892200
45804,MY,MYS,458,Melaka,Malaysia,2.1896,102.2501,"Melaka, Malaysia",932700
45805,MY,MYS,458,Negeri Sembilan,Malaysia,2.7258,101.9424,"Negeri Sembilan, Malaysia",1132100
45806,MY,MYS,458,Pahang,Malaysia,3.8126,103.3256,"Pahang, Malaysia",1677100
45807,MY,MYS,458,Perak,Malaysia,4.5921,101.0901,"Perak, Malaysia",2514300
45808,MY,MYS,458,Perlis,Malaysia,6.4449,100.2048,"Perlis, Malaysia",254600
45809,MY,MYS,458,Pulau Pinang,Malaysia,5.4141,100.3288,"Pulau Pinang, Malaysia",1777600
45810,MY,MYS,458,Sabah,Malaysia,5.9788,116.0753,"Sabah, Malaysia",3904700
45811,MY,MYS,458,Sarawak,Malaysia,1.5533,110.3592,"Sarawak, Malaysia",2818100
45812,MY,MYS,458,Selangor,Malaysia,3.0738,101.5183,"Selangor, Malaysia",6541900
45813,MY,MYS,458,Terengganu,Malaysia,5.3117,103.1324,"Terengganu, Malaysia",1250100
45814,MY,MYS,458,W.P. Kuala Lumpur,Malaysia,3.139,101.6869,"W.P. Kuala Lumpur, Malaysia",1778400
45815,MY,MYS,458,W.P. Labuan,Malaysia,5.2831,115.2308,"W.P. Labuan, Malaysia",99400
45816,MY,MYS,458,W.P. Putrajaya,Malaysia,2.9264,101.6964,"W.P. Putrajaya, Malaysia",105400
48401,MX,MEX,484,Aguascalientes,Mexico,21.8853,-102.2916,"Aguascalientes, Mexico",1434635
48402,MX,MEX,484,Baja California,Mexico,30.8406,-115.2838,"Baja California, Mexico",3634868
48403,MX,MEX,484,Baja California Sur,Mexico,26.0444,-111.6661,"Baja California Sur, Mexico",804708
48404,MX,MEX,484,Campeche,Mexico,19.8301,-90.5349,"Campeche, Mexico",1000617
48405,MX,MEX,484,Chiapas,Mexico,16.7569,-93.1292,"Chiapas, Mexico",5730367
48406,MX,MEX,484,Chihuahua,Mexico,28.633,-106.0691,"Chihuahua, Mexico",3801487
48407,MX,MEX,484,Ciudad de Mexico,Mexico,19.4326,-99.1332,"Ciudad de Mexico, Mexico",9018645
48408,MX,MEX,484,Coahuila,Mexico,27.0587,-101.7068,"Coahuila, Mexico",3218720
48409,MX,MEX,484,Colima,Mexico,19.1223,-104.0072,"Colima, Mexico",785153
48410,MX,MEX,484,Durango,Mexico,24.5593,-104.6588,"Durango, Mexico",1868996
48411,MX,MEX,484,Guanajuato,Mexico,21.019,-101.2574,"Guanajuato, Mexico",6228175
48412,MX,MEX,484,Guerrero,Mexico,17.4392,-99.5451,"Guerrero, Mexico",3657048
48413,MX,MEX,484,Hidalgo,Mexico,20.0911,-98.7624,"Hidalgo, Mexico",3086414
48414,MX,MEX,484,Jalisco,Mexico,20.6595,-103.3494,"Jalisco, Mexico",8409693
48415,MX,MEX,484,Mexico,Mexico,19.4969,-99.7233,"Mexico, Mexico",17427790
